Region,Category,Total Reviews
Africa,Baby & Kids,166987
Africa,Construction & Manufacturing,332573
Africa,Electronics & Technology,231208
Africa,Events & Entertainment,272223
Africa,Health & Medical,202688
Africa,Home & Gardens,229716
Africa,Local & Public Services,158051
Africa,Money & Business,621924
Africa,Real Estate,399225
Africa,References,230740
Africa,Restaurants & Bars,450295
Africa,Science,202364
Africa,Shopping & Fashion,226135
Africa,Society,254556
Africa,Special Investments,134353
Africa,Sports,198845
Africa,Travel & Vacation,295955
Africa,Utilities,275917
Africa,Vehicles & Transportation,155896
America,Animals & Pets,137935
America,Baby & Kids,243833
America,Beauty & Wellbeing,102797
America,Construction & Manufacturing,255288
America,Education & Training,85055
America,Electronics & Technology,476093
America,Events & Entertainment,405747
America,Health & Medical,322967
America,Hobbies & Crafts,145116
America,Home & Gardens,288729
America,Jobs,109677
America,Local & Public Services,392624
America,Media & Publishing,141628
America,Money & Business,478702
America,News,120139
America,Real Estate,301355
America,References,333388
America,Relationship,196521
America,Restaurants & Bars,354107
America,Science,179803
America,Shopping & Fashion,367211
America,Society,306006
America,Special Investments,387458
America,Sports,235127
America,Travel & Vacation,316687
America,Utilities,481983
America,Vehicles & Transportation,325385
Asia,Airlines & Travel,48894
Asia,Animals & Pets,102331
Asia,Baby & Kids,56326
Asia,Banking,33566
Asia,Banks & Finance,119032
Asia,Beauty & Wellbeing,141939
Asia,Coffee Chains,153414
Asia,Construction & Manufacturing,204286
Asia,Education & Training,314309
Asia,Electronics & Technology,110876
Asia,Events & Entertainment,137180
Asia,Food & Beverage,27676
Asia,Health & Medical,313146
Asia,Hobbies & Crafts,48450
Asia,Home & Gardens,82839
Asia,Jobs,86903
Asia,Local & Public Services,289463
Asia,Media & Publishing,329050
Asia,Money & Business,622378
Asia,News,164673
Asia,Real Estate,487236
Asia,References,109000
Asia,Relationship,94749
Asia,Restaurants & Bars,579642
Asia,Retail & Shopping,28106
Asia,Science,217219
Asia,Shopping & Fashion,444576
Asia,Society,128781
Asia,Special Investments,278262
Asia,Sports,77164
Asia,Sports & Fitness,120774
Asia,Tech,11878
Asia,Technology & Services,240795
Asia,Travel & Vacation,382368
Asia,Utilities,282167
Asia,Vehicles & Transportation,204493
Europe,Airlines & Travel,15393
Europe,Animals & Pets,109876
Europe,Baby & Kids,100599
Europe,Banks & Finance,18660
Europe,Beauty & Wellbeing,131613
Europe,Coffee Chains,18621
Europe,Construction & Manufacturing,178518
Europe,Education & Training,93530
Europe,Electronics & Technology,116090
Europe,Events & Entertainment,162323
Europe,Health & Medical,141901
Europe,Hobbies & Crafts,111704
Europe,Home & Gardens,131228
Europe,Jobs,76477
Europe,Local & Public Services,213090
Europe,Media & Publishing,148373
Europe,Money & Business,258533
Europe,News,105474
Europe,Real Estate,211219
Europe,References,174151
Europe,Relationship,120300
Europe,Restaurants & Bars,176106
Europe,Science,83371
Europe,Shopping & Fashion,174541
Europe,Society,75149
Europe,Special Investments,193180
Europe,Sports,111623
Europe,Sports & Fitness,23956
Europe,Technology & Services,26720
Europe,Travel & Vacation,159939
Europe,Utilities,221891
Europe,Vehicles & Transportation,227775
Middle East,Airlines & Travel,53589
Middle East,Animals & Pets,26386
Middle East,Baby & Kids,86224
Middle East,Banks & Finance,64610
Middle East,Beauty & Wellbeing,30563
Middle East,Coffee Chains,43736
Middle East,Construction & Manufacturing,74536
Middle East,Education & Training,73600
Middle East,Electronics & Technology,92916
Middle East,Events & Entertainment,120729
Middle East,Health & Medical,138743
Middle East,Hobbies & Crafts,27104
Middle East,Home & Gardens,81886
Middle East,Local & Public Services,131152
Middle East,Media & Publishing,107870
Middle East,Money & Business,174454
Middle East,Real Estate,102077
Middle East,References,50052
Middle East,Restaurants & Bars,278957
Middle East,Science,53270
Middle East,Shopping & Fashion,205524
Middle East,Society,25252
Middle East,Special Investments,134021
Middle East,Sports,88769
Middle East,Sports & Fitness,48499
Middle East,Technology & Services,73083
Middle East,Travel & Vacation,145556
Middle East,Utilities,177178
Middle East,Vehicles & Transportation,142583
Russia,Baby & Kids,23112
Russia,Electronics & Technology,36754
Russia,Events & Entertainment,39115
Russia,Health & Medical,17571
Russia,Home & Gardens,27506
Russia,Local & Public Services,58051
Russia,Money & Business,158515
Russia,Real Estate,140069
Russia,Restaurants & Bars,80259
Russia,Shopping & Fashion,48581
Russia,Special Investments,69906
Russia,Sports,17693
Russia,Utilities,80138
Russia,Vehicles & Transportation,57052
