Country,Category,Total Reviews
Argentina,Animals & Pets,42541
Argentina,Baby & Kids,42390
Argentina,Beauty & Wellbeing,28723
Argentina,Construction & Manufacturing,47184
Argentina,Education & Training,30915
Argentina,Electronics & Technology,42719
Argentina,Events & Entertainment,64525
Argentina,Health & Medical,42226
Argentina,Hobbies & Crafts,44971
Argentina,Home & Gardens,54351
Argentina,Jobs,41567
Argentina,Local & Public Services,24559
Argentina,Media & Publishing,44416
Argentina,Money & Business,71561
Argentina,News,46325
Argentina,Real Estate,71223
Argentina,References,74829
Argentina,Relationship,49624
Argentina,Restaurants & Bars,81872
Argentina,Science,33652
Argentina,Shopping & Fashion,32245
Argentina,Society,42995
Argentina,Special Investments,28530
Argentina,Sports,41927
Argentina,Travel & Vacation,60561
Argentina,Utilities,31256
Argentina,Vehicles & Transportation,30806
Brazil,Animals & Pets,45015
Brazil,Baby & Kids,53655
Brazil,Beauty & Wellbeing,30736
Brazil,Construction & Manufacturing,44154
Brazil,Education & Training,32805
Brazil,Electronics & Technology,53890
Brazil,Events & Entertainment,74762
Brazil,Health & Medical,44798
Brazil,Hobbies & Crafts,41211
Brazil,Home & Gardens,64478
Brazil,Jobs,41616
Brazil,Media & Publishing,58378
Brazil,News,43840
Brazil,References,72964
Brazil,Relationship,52464
Brazil,Restaurants & Bars,95032
Brazil,Science,32879
Brazil,Shopping & Fashion,63026
Brazil,Society,45898
Brazil,Sports,33038
Brazil,Travel & Vacation,61182
Canada,Animals & Pets,19033
Canada,Baby & Kids,15635
Canada,Beauty & Wellbeing,17255
Canada,Construction & Manufacturing,20213
Canada,Education & Training,8411
Canada,Electronics & Technology,27120
Canada,Events & Entertainment,29073
Canada,Health & Medical,21537
Canada,Hobbies & Crafts,20040
Canada,Home & Gardens,21150
Canada,Jobs,10972
Canada,Local & Public Services,64899
Canada,Media & Publishing,12818
Canada,Money & Business,31007
Canada,News,7726
Canada,Real Estate,12797
Canada,References,31156
Canada,Relationship,66920
Canada,Restaurants & Bars,41804
Canada,Science,12718
Canada,Shopping & Fashion,25751
Canada,Society,18549
Canada,Special Investments,32220
Canada,Sports,17863
Canada,Travel & Vacation,53864
Canada,Utilities,58704
Canada,Vehicles & Transportation,47076
China,Airlines & Travel,19785
China,Baby & Kids,11756
China,Banks & Finance,82346
China,Beauty & Wellbeing,33940
China,Coffee Chains,72798
China,Construction & Manufacturing,35066
China,Education & Training,71386
China,Electronics & Technology,20142
China,Events & Entertainment,39691
China,Health & Medical,92399
China,Home & Gardens,25704
China,Local & Public Services,111747
China,Media & Publishing,89477
China,Money & Business,243798
China,Real Estate,205174
China,References,10598
China,Restaurants & Bars,198037
China,Science,29422
China,Shopping & Fashion,140461
China,Society,11498
China,Special Investments,111429
China,Sports,16070
China,Sports & Fitness,51567
China,Technology & Services,71375
China,Travel & Vacation,112595
China,Utilities,110847
China,Vehicles & Transportation,75654
Colombia,Baby & Kids,40224
Colombia,Construction & Manufacturing,54127
Colombia,Electronics & Technology,73908
Colombia,Events & Entertainment,32824
Colombia,Health & Medical,86093
Colombia,Home & Gardens,69657
Colombia,Local & Public Services,106144
Colombia,Money & Business,148722
Colombia,Real Estate,88163
Colombia,References,35344
Colombia,Restaurants & Bars,47248
Colombia,Science,19593
Colombia,Shopping & Fashion,43916
Colombia,Society,36444
Colombia,Special Investments,134594
Colombia,Sports,44564
Colombia,Travel & Vacation,39596
Colombia,Utilities,132546
Colombia,Vehicles & Transportation,104991
Egypt,Baby & Kids,20741
Egypt,Construction & Manufacturing,31700
Egypt,Electronics & Technology,34338
Egypt,Events & Entertainment,45800
Egypt,Health & Medical,28204
Egypt,Home & Gardens,30809
Egypt,Local & Public Services,33233
Egypt,Money & Business,65276
Egypt,Real Estate,27919
Egypt,References,32600
Egypt,Restaurants & Bars,39629
Egypt,Science,20831
Egypt,Shopping & Fashion,32085
Egypt,Society,12817
Egypt,Special Investments,30938
Egypt,Sports,26273
Egypt,Travel & Vacation,46918
Egypt,Utilities,52084
Egypt,Vehicles & Transportation,39134
England,Airlines & Travel,15393
England,Animals & Pets,12579
England,Baby & Kids,15179
England,Banks & Finance,18660
England,Beauty & Wellbeing,28740
England,Coffee Chains,18621
England,Construction & Manufacturing,17001
England,Education & Training,30032
England,Electronics & Technology,13371
England,Events & Entertainment,29556
England,Health & Medical,47805
England,Hobbies & Crafts,17114
England,Home & Gardens,16684
England,Local & Public Services,30386
England,Media & Publishing,42753
England,Money & Business,50952
England,News,19686
England,Real Estate,61905
England,References,13412
England,Relationship,14405
England,Restaurants & Bars,30492
England,Science,25237
England,Shopping & Fashion,70325
England,Society,17495
England,Special Investments,30519
England,Sports,17826
England,Sports & Fitness,23956
England,Technology & Services,26720
England,Travel & Vacation,56850
England,Utilities,30812
England,Vehicles & Transportation,45126
Ethiopia,Baby & Kids,14750
Ethiopia,Construction & Manufacturing,55500
Ethiopia,Electronics & Technology,20070
Ethiopia,Events & Entertainment,26130
Ethiopia,Health & Medical,18718
Ethiopia,Home & Gardens,11732
Ethiopia,Local & Public Services,46982
Ethiopia,Money & Business,205811
Ethiopia,Real Estate,185982
Ethiopia,References,39040
Ethiopia,Restaurants & Bars,51479
Ethiopia,Science,52581
Ethiopia,Shopping & Fashion,39062
Ethiopia,Society,56248
Ethiopia,Special Investments,42740
Ethiopia,Sports,13705
Ethiopia,Travel & Vacation,32895
Ethiopia,Utilities,57839
Ethiopia,Vehicles & Transportation,39416
France,Animals & Pets,28756
France,Baby & Kids,28098
France,Beauty & Wellbeing,56061
France,Construction & Manufacturing,98861
France,Education & Training,25834
France,Electronics & Technology,29696
France,Events & Entertainment,39783
France,Health & Medical,30098
France,Hobbies & Crafts,32485
France,Home & Gardens,36331
France,Jobs,23202
France,Local & Public Services,25118
France,Media & Publishing,55654
France,Money & Business,63600
France,News,21359
France,Real Estate,75352
France,References,47092
France,Relationship,31228
France,Restaurants & Bars,54280
France,Science,25282
France,Shopping & Fashion,33676
France,Society,24683
France,Special Investments,37206
France,Sports,22984
France,Travel & Vacation,43990
France,Utilities,27991
France,Vehicles & Transportation,46590
Germany,Animals & Pets,27499
Germany,Baby & Kids,24079
Germany,Beauty & Wellbeing,16053
Germany,Construction & Manufacturing,24832
Germany,Education & Training,11142
Germany,Electronics & Technology,27107
Germany,Events & Entertainment,32640
Germany,Health & Medical,23942
Germany,Hobbies & Crafts,24233
Germany,Home & Gardens,33504
Germany,Jobs,26250
Germany,Local & Public Services,59205
Germany,Media & Publishing,18299
Germany,Money & Business,54546
Germany,News,36908
Germany,Real Estate,32676
Germany,References,28368
Germany,Relationship,46280
Germany,Restaurants & Bars,59615
Germany,Science,10773
Germany,Shopping & Fashion,25493
Germany,Society,8414
Germany,Special Investments,54855
Germany,Sports,29027
Germany,Travel & Vacation,22460
Germany,Utilities,69836
Germany,Vehicles & Transportation,57153
India,Animals & Pets,77655
India,Baby & Kids,13456
India,Beauty & Wellbeing,28657
India,Construction & Manufacturing,112924
India,Education & Training,45970
India,Electronics & Technology,38776
India,Events & Entertainment,31112
India,Health & Medical,18497
India,Hobbies & Crafts,48450
India,Home & Gardens,16602
India,Jobs,86903
India,Local & Public Services,112780
India,Media & Publishing,49006
India,Money & Business,205576
India,News,164673
India,Real Estate,155005
India,References,48077
India,Relationship,94749
India,Restaurants & Bars,99982
India,Science,110616
India,Shopping & Fashion,32623
India,Society,77534
India,Special Investments,99615
India,Sports,15501
India,Travel & Vacation,7836
India,Utilities,95596
India,Vehicles & Transportation,75430
Indonesia,Airlines & Travel,29109
Indonesia,Baby & Kids,21532
Indonesia,Banks & Finance,36686
Indonesia,Beauty & Wellbeing,41656
Indonesia,Coffee Chains,80616
Indonesia,Construction & Manufacturing,27304
Indonesia,Education & Training,140214
Indonesia,Electronics & Technology,31338
Indonesia,Events & Entertainment,36390
Indonesia,Health & Medical,166838
Indonesia,Home & Gardens,23621
Indonesia,Local & Public Services,22609
Indonesia,Media & Publishing,117275
Indonesia,Money & Business,43264
Indonesia,Real Estate,27976
Indonesia,References,28712
Indonesia,Restaurants & Bars,196826
Indonesia,Science,23351
Indonesia,Shopping & Fashion,175262
Indonesia,Society,9762
Indonesia,Special Investments,33442
Indonesia,Sports,23792
Indonesia,Sports & Fitness,44347
Indonesia,Technology & Services,141754
Indonesia,Travel & Vacation,167344
Indonesia,Utilities,44130
Indonesia,Vehicles & Transportation,24719
Italy,Animals & Pets,21724
Italy,Baby & Kids,15436
Italy,Beauty & Wellbeing,14774
Italy,Construction & Manufacturing,14231
Italy,Education & Training,10659
Italy,Electronics & Technology,22420
Italy,Events & Entertainment,28240
Italy,Health & Medical,21882
Italy,Hobbies & Crafts,20737
Italy,Home & Gardens,17023
Italy,Jobs,8832
