Category,Total Reviews
Money & Business,2314506
Restaurants & Bars,1919366
Real Estate,1641181
Utilities,1519274
Shopping & Fashion,1466568
Travel & Vacation,1300505
Local & Public Services,1242431
Special Investments,1197180
Events & Entertainment,1137317
Health & Medical,1137016
Vehicles & Transportation,1113184
Electronics & Technology,1063937
Construction & Manufacturing,1045201
References,897331
Home & Gardens,841904
Society,789744
Science,736027
Sports,729221
Media & Publishing,726921
Baby & Kids,677081
Education & Training,566494
Relationship,411570
Beauty & Wellbeing,406912
News,390286
Animals & Pets,376528
Technology & Services,340598
Hobbies & Crafts,332374
Jobs,273057
Coffee Chains,215771
Banks & Finance,202302
Sports & Fitness,193229
Airlines & Travel,117876
Banking,33566
Retail & Shopping,28106
Food & Beverage,27676
Tech,11878
